Fri Jun 29 03:46:04 UTC 2018
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50918 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50046 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50958 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50538 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50808 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50932 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50246 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50342 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50454 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50900 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50788 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50094 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50704 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50938 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50586 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50282 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50638 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50052 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50844 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50324 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50842 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50928 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50718 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50110 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50082 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50182 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50482 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50078 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50452 TIME_WAIT   
